@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric

@data
14,'2016/10/09 22:54:40:163',2,0.25,0.285714,0.406685,0.078059,0.833679,0.281439,0.176429,0.217186
15,'2016/10/09 22:54:41:027',2,0.25,0.142857,0.406685,0.078059,0.833679,0.281439,0.176429,0.217186
16,'2016/10/09 22:54:41:778',2,0.25,0.571429,0.406685,0.078059,0.833679,0.281439,0.176429,0.217186
17,'2016/10/09 22:54:42:480',2,0.25,1,0.406685,0.078059,0.833679,0.281439,0.176429,0.217186
18,'2016/10/09 22:54:43:263',2,0.5,1,0.406685,0.078059,0.833679,0.281439,0.176429,0.217186
19,'2016/10/09 22:54:43:950',2,0.5,0.714286,0.406685,0.078059,0.833679,0.281439,0.176429,0.217186
20,'2016/10/09 22:54:44:749',2,0.25,0.285714,0.406685,0.078059,0.833679,0.281439,0.176429,0.217186
21,'2016/10/09 22:54:45:948',2,0,0,0.406685,0.078059,0.833679,0.281439,0.176429,0.217186
22,'2016/10/09 22:54:46:571',2,0,0,0.406685,0.078059,0.833679,0.281439,0.176429,0.217186
23,'2016/10/09 22:54:47:642',2,0.5,0,0.406685,0.078059,0.833679,0.281439,0.176429,0.217186
24,'2016/10/09 22:54:48:648',2,0.5,0,0.406685,0.078059,0.833679,0.281439,0.176429,0.217186
25,'2016/10/09 22:54:49:575',2,0.75,0,0.406685,0.078059,0.833679,0.281439,0.176429,0.217186
26,'2016/10/09 22:55:01:879',2,0,0,0.406685,0.078059,0.833679,0.281439,0.176429,0.217186
27,'2016/10/09 22:55:02:790',2,0,0,0.406685,0.078059,0.833679,0.281439,0.176429,0.217186
28,'2016/10/09 22:55:03:605',2,0.25,0,0.406685,0.078059,0.833679,0.281439,0.176429,0.217186
29,'2016/10/09 22:55:04:292',2,0.5,0,0.406685,0.078059,0.833679,0.281439,0.176429,0.217186
30,'2016/10/09 22:55:05:202',2,0,0,0.406685,0.078059,0.833679,0.281439,0.176429,0.217186
31,'2016/10/09 22:55:05:506',2,0.25,0,0.406685,0.078059,0.833679,0.281439,0.176429,0.217186
32,'2016/10/09 22:55:05:969',2,0.25,0.142857,0.406685,0.078059,0.833679,0.281439,0.176429,0.217186
33,'2016/10/09 22:55:06:528',2,0.25,0.571429,0.406685,0.078059,0.833679,0.281439,0.176429,0.217186
34,'2016/10/09 22:55:07:088',2,0.25,0.714286,0.406685,0.078059,0.833679,0.281439,0.176429,0.217186
35,'2016/10/09 22:55:07:807',2,0.25,0.714286,0.406685,0.078059,0.833679,0.281439,0.176429,0.217186
36,'2016/10/09 22:55:08:446',2,0.5,0.714286,0.406685,0.078059,0.833679,0.281439,0.176429,0.217186
37,'2016/10/09 22:55:08:925',2,0.5,0.714286,0.406685,0.078059,0.833679,0.281439,0.176429,0.217186
38,'2016/10/09 22:55:09:501',2,0.5,1,0.406685,0.078059,0.833679,0.281439,0.176429,0.217186
39,'2016/10/09 22:55:10:156',2,0,0.857143,0.406685,0.078059,0.833679,0.281439,0.176429,0.217186
40,'2016/10/09 23:56:40:878',3,0,1,0.889664,0.357508,0.60056,0.499735,0.018914,0.041728
41,'2016/10/09 23:56:42:156',3,0,0.857143,0.889664,0.357508,0.60056,0.499735,0.018914,0.041728
42,'2016/10/09 23:56:42:667',3,0,1,0.889664,0.357508,0.60056,0.499735,0.018914,0.041728
43,'2016/10/09 23:56:43:195',3,0,1,0.889664,0.357508,0.60056,0.499735,0.018914,0.041728
44,'2016/10/09 23:56:43:696',3,0,0.857143,0.889664,0.357508,0.60056,0.499735,0.018914,0.041728
45,'2016/10/09 23:56:44:265',3,0.25,0.857143,0.889664,0.357508,0.60056,0.499735,0.018914,0.041728
46,'2016/10/09 23:56:45:080',3,0,0.857143,0.889664,0.357508,0.60056,0.499735,0.018914,0.041728
47,'2016/10/09 23:56:45:607',3,0.25,1,0.889664,0.357508,0.60056,0.499735,0.018914,0.041728
48,'2016/10/09 23:56:46:118',3,0,1,0.889664,0.357508,0.60056,0.499735,0.018914,0.041728
49,'2016/10/09 23:56:46:885',3,0,1,0.889664,0.357508,0.60056,0.499735,0.018914,0.041728
50,'2016/10/09 23:56:47:365',3,0,1,0.889664,0.357508,0.60056,0.499735,0.018914,0.041728
51,'2016/10/09 23:58:01:438',4,0,0,0.585266,0.690561,0.462429,0.579972,0.349725,0.85333
52,'2016/10/09 23:58:02:413',4,0,0,0.585266,0.690561,0.462429,0.579972,0.349725,0.85333
53,'2016/10/09 23:58:03:084',4,0,0,0.585266,0.690561,0.462429,0.579972,0.349725,0.85333
54,'2016/10/09 23:58:03:659',4,0.25,0.142857,0.585266,0.690561,0.462429,0.579972,0.349725,0.85333
55,'2016/10/09 23:58:04:154',4,0,0,0.585266,0.690561,0.462429,0.579972,0.349725,0.85333
56,'2016/10/09 23:58:04:697',4,0.25,0.142857,0.585266,0.690561,0.462429,0.579972,0.349725,0.85333
57,'2016/10/09 23:58:05:114',4,0,0,0.585266,0.690561,0.462429,0.579972,0.349725,0.85333
58,'2016/10/09 23:58:05:832',4,0.25,0,0.585266,0.690561,0.462429,0.579972,0.349725,0.85333
59,'2016/10/09 23:58:06:280',4,0.25,0.142857,0.585266,0.690561,0.462429,0.579972,0.349725,0.85333
60,'2016/10/09 23:58:06:919',4,0.25,0.142857,0.585266,0.690561,0.462429,0.579972,0.349725,0.85333
